,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
33,Alstonia spatulata Blume,Alstonia,spatulata Blume,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia spatulata,Alstonia spatulata,76595-1,76595-1,Species
34,Alstonia spectabilis R. Br.,Alstonia,spectabilis R. Br.,Yes,Yes,KN,Yes,SB [88] [327],,,Active,88,Apocynaceae,Alstonia spectabilis,Alstonia spectabilis,76597-1,76597-1,Species
35,Alstonia sphaerocapitata Boiteau,Alstonia,sphaerocapitata Boiteau,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia sphaerocapitata,Alstonia sphaerocapitata,76598-1,76598-1,Species
36,Alstonia venenata R. Br.,Alstonia,venenata R. Br.,Yes,Yes,"KN, 79",,,,,,,Apocynaceae,Alstonia venenata,Alstonia venenata,76602-1,76602-1,Species
37,Alstonia vieillardii Van Heurck & Müll.Arg.,Alstonia,vieillardii Van Heurck & Müll.Arg.,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia vieillardii,Alstonia vieillardii,76604-1,76604-1,Species
38,Alstonia yunnanensis Diels,Alstonia,yunnanensis Diels,Yes,Yes,247,,,,,,,Apocynaceae,Alstonia yunnanensis,Alstonia yunnanensis,76608-1,76608-1,Species
39,Alyxia stellata (J. R. Forst. & G. Forst.) Roem. & Schult.,Alyxia,stellata (J. R. Forst. & G. Forst.) Roem. & Schult.,Yes,Yes,280,,,,,Inactive,73,Apocynaceae,Alyxia stellata,Alyxia stellata,76804-1,76804-1,Species
40,Amalocalyx microlobus Pierre ex Spire,Amalocalyx,microlobus Pierre ex Spire,,,,,,,,,,Apocynaceae,Amalocalyx microlobus,Amalocalyx microlobus,76826-1,76826-1,Species
41,Ambelania acida Aubl.,Ambelania,acida Aubl.,Yes,Yes,65,,,,,,,Apocynaceae,Ambelania acida,Ambelania acida,76829-1,76829-1,Species
42,Amphineurion marginatum (Roxb.) D. J. Middleton,Amphineurion,marginatum (Roxb.) D. J. Middleton,Yes,Yes,72,Yes,"SB, S [70]",Yes,[79],Inactive,70,Apocynaceae,Amphineurion marginatum,Amphineurion marginatum,77074602-1,77074602-1,Species
43,Amsonia elliptica (Thunb.) Roem. & Schult.,Amsonia,elliptica (Thunb.) Roem. & Schult.,Yes,Yes,76,,,,,,,Apocynaceae,Amsonia elliptica,Amsonia elliptica,76906-1,76906-1,Species
44,Amsonia tabernaemontana Walter,Amsonia,tabernaemontana Walter,Yes,Yes,"KN, 74",,,,,,,Apocynaceae,Amsonia tabernaemontana,Amsonia tabernaemontana,76931-1,76931-1,Species
45,Amsonia tomentosa var. tomentosa,Amsonia,tomentosa var. tomentosa,Yes,Yes,75,,,,,,,Apocynaceae,Amsonia tomentosa var. tomentosa,Amsonia tomentosa,76934-1,77167486-1,Variety
46,Anisopus mannii N. E. Br.,Anisopus,mannii N. E. Br.,Yes,Yes,77,,,,,,,Apocynaceae,Anisopus mannii,Anisopus mannii,93986-1,93986-1,Species
47,Anodendron affine (Hook. & Arn.) Druve,Anodendron,affine (Hook. & Arn.) Druve,Yes,Yes,"78, 143",,,,,,,Apocynaceae,Anodendron affine,Anodendron affine,77061-1,77061-1,Species
48,Anodendron oblongifolium Hemsl.,Anodendron,oblongifolium Hemsl.,,,,,,,,,,Apocynaceae,Anodendron oblongifolium,Anodendron oblongifolium,77077-1,77077-1,Species
49,Apocynum cannabinum L.,Apocynum,cannabinum L.,,,,,,,,,,Apocynaceae,Apocynum cannabinum,Apocynum cannabinum,16527-2,16527-2,Species
50,Apocynum venetum subsp. basikurumon (H.Hara) ined.,Apocynum,venetum subsp. basikurumon (H.Hara) ined.,,,,,,,,,,Apocynaceae,Apocynum venetum subsp. basikurumon,Apocynum venetum,77279-1,77190069-1,Subspecies
51,Apteranthes europaea (Guss.) Murb.,Apteranthes,europaea (Guss.) Murb.,Yes,Yes,96,,,,,,,Apocynaceae,Apteranthes europaea,Apteranthes europaea,94041-1,94041-1,Species
52,Apteranthes europaea var. judaica (Zohary) Plowes,Apteranthes,europaea var. judaica (Zohary) Plowes,,,,,,,,,,Apocynaceae,Apteranthes europaea var. judaica,Apteranthes europaea,94041-1,986798-1,Variety
53,Apteranthes tuberculata (N. E. Br.) Meve & Liede,Apteranthes,tuberculata (N. E. Br.) Meve & Liede,,,,,,,,Inactive,91,Apocynaceae,Apteranthes tuberculata,Apteranthes tuberculata,20009957-1,20009957-1,Species
54,Araujia sericifera Brot.,Araujia,sericifera Brot.,Yes,Yes,KN,,,,,,,Apocynaceae,Araujia sericifera,Araujia sericifera,30117279-2,30117279-2,Species
55,Asclepias curassavica L.,Asclepias,curassavica L.,Yes,Yes,51,Yes,"[52, 329]",,,,,Apocynaceae,Asclepias curassavica,Asclepias curassavica,94213-1,94213-1,Species
56,Asclepias eriocarpa Benth.,Asclepias,eriocarpa Benth.,Yes,Yes,321,,,,,,,Apocynaceae,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,94258-1,Species
57,Asclepias humistrata Walter,Asclepias,humistrata Walter,,,,,,,,,,Apocynaceae,Asclepias humistrata,Asclepias humistrata,94346-1,94346-1,Species
58,Asclepias incarnata L.,Asclepias,incarnata L.,,,,,,,,,,Apocynaceae,Asclepias incarnata,Asclepias incarnata,94351-1,94351-1,Species
59,Asclepias labriformis M. E. Jones,Asclepias,labriformis M. E. Jones,Yes,Yes,321,,,,,,,Apocynaceae,Asclepias labriformis,Asclepias labriformis,21220-2,21220-2,Species
60,Asclepias sullivantii Engelm. ex A.Gray,Asclepias,sullivantii Engelm. ex A.Gray,,,,,,,,,,Apocynaceae,Asclepias sullivantii,Asclepias sullivantii,94678-1,94678-1,Species
61,Asclepias syriaca L.,Asclepias,syriaca L.,Yes,Yes,KN,,,,,,,Apocynaceae,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species
62,Asclepias tuberosa L.,Asclepias,tuberosa L.,,,,,,,,,,Apocynaceae,Asclepias tuberosa,Asclepias tuberosa,94704-1,94704-1,Species
63,Aspidosperma album (Vahl) Benoist ex Pichon,Aspidosperma,album (Vahl) Benoist ex Pichon,Yes,Yes,2,Yes,329,Yes,[309],,,Apocynaceae,Aspidosperma album,Aspidosperma album,77325-1,77325-1,Species
64,Aspidosperma auriculatum Markgr.,Aspidosperma,auriculatum Markgr.,Yes,Yes,5,Yes,[310],,,,,Apocynaceae,Aspidosperma auriculatum,Aspidosperma auriculatum,21933-2,21933-2,Species
65,Aspidosperma carapanauba Pichon,Aspidosperma,carapanauba Pichon,Yes,Yes,16,Yes,329,,,,,Apocynaceae,Aspidosperma carapanauba,Aspidosperma carapanauba,290346-2,290346-2,Species
66,Aspidosperma cuspa (Kunth) S. F. Blake ex Pittier,Aspidosperma,cuspa (Kunth) S. F. Blake ex Pittier,Yes,Yes,7,,,Yes,[309],,,Apocynaceae,Aspidosperma cuspa,Aspidosperma cuspa,77347-1,77347-1,Species
67,Aspidosperma cylindrocarpon Müll. Arg.,Aspidosperma,cylindrocarpon Müll. Arg.,Yes,Yes,8,,,,,Inactive,295,Apocynaceae,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon,21952-2,21952-2,Species
68,Aspidosperma desmanthum Benth. Ex Müll. Arg.,Aspidosperma,desmanthum Benth. Ex Müll. Arg.,Yes,Yes,11,Yes,329,Yes, L [311],Active,300,Apocynaceae,Aspidosperma desmanthum,Aspidosperma desmanthum,77353-1,77353-1,Species
69,Aspidosperma discolor A. DC.,Aspidosperma,discolor A. DC.,Yes,Yes,4,Yes,"B [315, 329]",,,,,Apocynaceae,Aspidosperma discolor,Aspidosperma discolor,77354-1,77354-1,Species
70,Aspidosperma eburneum allemão ex Saldanha,Aspidosperma,eburneum allemão ex Saldanha,Yes,Yes,5,,,,,,,Apocynaceae,Aspidosperma eburneum,Aspidosperma eburneum,77361-1,77361-1,Species
71,Aspidosperma excelsum Benth. ex Müll. Arg.,Aspidosperma,excelsum Benth. ex Müll. Arg.,Yes,Yes,3,Yes,"B [19] U [23, 309,312] B & L [311]",Yes,[309],Active [298],23/298,Apocynaceae,Aspidosperma excelsum,Aspidosperma excelsum,77367-1,77367-1,Species
72,Aspidosperma illustre (Vell.) Kuhim. & Piraja,Aspidosperma,illustre (Vell.) Kuhim. & Piraja,Yes,Yes,40,Yes,329,,,,,Apocynaceae,Aspidosperma illustre,Aspidosperma illustre,21984-2,21984-2,Species
73,Aspidosperma limae Woodson,Aspidosperma,limae Woodson,Yes,Yes,KN,,,,,,,Apocynaceae,Aspidosperma limae,Aspidosperma limae,21994-2,21994-2,Species
74,Aspidosperma macrocarpon Mart.,Aspidosperma,macrocarpon Mart.,Yes,Yes,12,,,,,Active,66,Apocynaceae,Aspidosperma macrocarpon,Aspidosperma macrocarpon,77400-1,77400-1,Species
75,Aspidosperma megalocarpon Müll. Arg.,Aspidosperma,megalocarpon Müll. Arg.,Yes,Yes,13,Yes,B [315],Yes,[294],Active,294,Apocynaceae,Aspidosperma megalocarpon,Aspidosperma megalocarpon,77405-1,77405-1,Species
76,Aspidosperma megaphyllum Woodson,Aspidosperma,megaphyllum Woodson,,,,Yes,"[41, 329]",,,,,Apocynaceae,Aspidosperma megaphyllum,Aspidosperma megaphyllum,22004-2,22004-2,Species
77,Aspidosperma multiflorum A. DC.,Aspidosperma,multiflorum A. DC.,Yes,Yes,5,,,,,,,Apocynaceae,Aspidosperma multiflorum,Aspidosperma multiflorum,77410-1,77410-1,Species
78,Aspidosperma nigricans Handro,Aspidosperma,nigricans Handro,Yes,Yes,5,,,,,Inactive,46,Apocynaceae,Aspidosperma nigricans,Aspidosperma nigricans,22012-2,22012-2,Species
79,Aspidosperma oblongum A. DC.,Aspidosperma,oblongum A. DC.,Yes,Yes,5/16,Yes,329,,,Active,296,Apocynaceae,Aspidosperma oblongum,Aspidosperma oblongum,77418-1,77418-1,Species
80,Aspidosperma obscurinervium Azambuja,Aspidosperma,obscurinervium Azambuja,Yes,Yes,9,,,,,,,Apocynaceae,Aspidosperma obscurinervium,Aspidosperma obscurinervium,22015-2,22015-2,Species
81,Aspidosperma olivaceum Müll. Arg.,Aspidosperma,olivaceum Müll. Arg.,Yes,Yes,5,,,,,Active,295,Apocynaceae,Aspidosperma olivaceum,Aspidosperma olivaceum,22020-2,22020-2,Species
82,Aspidosperma pachypterum Müll. Arg.,Aspidosperma,pachypterum Müll. Arg.,Yes,Yes,65,,,,,,,Apocynaceae,Aspidosperma pachypterum,Aspidosperma pachypterum,77425-1,77425-1,Species
83,Aspidosperma parvifolium A. DC.,Aspidosperma,parvifolium A. DC.,Yes,Yes,14,Yes,B [313],Yes,"U [309, 311] B [313]",Active [300],1/300,Apocynaceae,Aspidosperma parvifolium,Aspidosperma parvifolium,315552-2,315552-2,Species
84,Aspidosperma pichonianum Woodson,Aspidosperma,pichonianum Woodson,,,,Yes,329,,,,,Apocynaceae,Aspidosperma pichonianum,Aspidosperma pichonianum,22024-2,22024-2,Species
85,Aspidosperma polyneuron Müll Arg.,Aspidosperma,polyneuron Müll Arg.,Yes,Yes,16,Yes,[313],Yes,[313],Active,1,Apocynaceae,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,77433-1,Species
86,Aspidosperma pyrifolium Mart.,Aspidosperma,pyrifolium Mart.,Yes,Yes,5,,,,,Inactive,297/306,Apocynaceae,Aspidosperma pyrifolium,Aspidosperma pyrifolium,77437-1,77437-1,Species
87,Aspidosperma quebracho-blanco Schltdl,Aspidosperma,quebracho-blanco Schltdl,Yes,Yes,10,Yes,U [314] B [315],Yes,U [314] B [315],Active,33,Apocynaceae,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,77440-1,77440-1,Species
88,Aspidosperma ramiflorum Müll. Arg.,Aspidosperma,ramiflorum Müll. Arg.,Yes,Yes,"KN, 15",,,,,Active,295,Apocynaceae,Aspidosperma ramiflorum,Aspidosperma ramiflorum,77443-1,77443-1,Species
89,Aspidosperma rigidum Rusby,Aspidosperma,rigidum Rusby,Yes,Yes,17,Yes,B [19] U [23],Yes,B [317],Active,23,Apocynaceae,Aspidosperma rigidum,Aspidosperma rigidum,22058-2,22058-2,Species
90,Aspidosperma sandwithianum Markgr.,Aspidosperma,sandwithianum Markgr.,Yes,Yes,39,,,,,,,Apocynaceae,Aspidosperma sandwithianum,Aspidosperma sandwithianum,22061-2,22061-2,Species
91,Aspidosperma schultesii Woodson,Aspidosperma,schultesii Woodson,Yes,Yes,17,Yes,B [41],Yes,B [311],,,Apocynaceae,Aspidosperma schultesii,Aspidosperma schultesii,22062-2,22062-2,Species
92,Aspidosperma spruceanum Benth. Ex Müll. Arg.,Aspidosperma,spruceanum Benth. Ex Müll. Arg.,Yes,Yes,5,Yes,329,,,Active,295,Apocynaceae,Aspidosperma spruceanum,Aspidosperma spruceanum,22069-2,22069-2,Species
93,Aspidosperma subincanum Mart,Aspidosperma,subincanum Mart,Yes,Yes,5,Yes,B [204],,,Active [300],"41, KN/300",Apocynaceae,Aspidosperma subincanum,Aspidosperma subincanum,77465-1,77465-1,Species
94,Aspidosperma tomentosum Mart,Aspidosperma,tomentosum Mart,Yes,Yes,5/6,Yes,[66],,,Active,25,Apocynaceae,Aspidosperma tomentosum,Aspidosperma tomentosum,77467-1,77467-1,Species
95,Aspidosperma ulei Markg.,Aspidosperma,ulei Markg.,Yes,Yes,16/299,Yes,329,,,Inactive,299,Apocynaceae,Aspidosperma ulei,Aspidosperma ulei,22079-2,22079-2,Species
96,Bahiella infundibuliflora J. F. Morales,Bahiella,infundibuliflora J. F. Morales,Yes,Yes,144,,,,,,,Apocynaceae,Bahiella infundibuliflora,Bahiella infundibuliflora,60444372-2,60444372-2,Species
97,Baissea axillaris (Benth.) Hua,Baissea,axillaris (Benth.) Hua,Yes,No,82,,,,,,,Apocynaceae,Baissea axillaris,Baissea axillaris,77483-1,77483-1,Species
98,Baroniella acuminata (Choux) Bullock,Baroniella,acuminata (Choux) Bullock,,,,,,,,,,Apocynaceae,Baroniella acuminata,Baroniella acuminata,94853-1,94853-1,Species
99,Beaumontia brevituba Oliv.,Beaumontia,brevituba Oliv.,,,,,,,,,,Apocynaceae,Beaumontia brevituba,Beaumontia brevituba,77532-1,77532-1,Species
100,Beaumontia grandiflora Wall.,Beaumontia,grandiflora Wall.,Yes,Yes,83,,,,,,,Apocynaceae,Beaumontia grandiflora,Beaumontia grandiflora,77539-1,77539-1,Species
101,Beaumontia murtonii Craib,Beaumontia,murtonii Craib,,,,,,,,,,Apocynaceae,Beaumontia murtonii,Beaumontia murtonii,77548-1,77548-1,Species
102,Boucerosia diffusa (wight),Boucerosia,diffusa (wight),Yes,Yes,94,,,,,,,Apocynaceae,Boucerosia diffusa,Boucerosia diffusa,94966-1,94966-1,Species
103,Boucerosia indica (Wight & Arn.) Plowes,Boucerosia,indica (Wight & Arn.) Plowes,,,,,,,,,,Apocynaceae,Boucerosia indica,Boucerosia indica,986841-1,986841-1,Species
104,Boucerosia pauciflora Wight,Boucerosia,pauciflora Wight,,,,,,,,,,Apocynaceae,Boucerosia pauciflora,Boucerosia pauciflora,94979-1,94979-1,Species
105,Boucerosia umbellata (Haw.) Wight & Arn.,Boucerosia,umbellata (Haw.) Wight & Arn.,,,,,,,,,,Apocynaceae,Boucerosia umbellata,Boucerosia umbellata,94990-1,94990-1,Species
106,Bousigonia angustifolia Pierre ex Spire,Bousigonia,angustifolia Pierre ex Spire,Yes,Yes,84,,,,,,,Apocynaceae,Bousigonia angustifolia,Bousigonia angustifolia,77610-1,77610-1,Species
107,Bousigonia mekongensis Pierre,Bousigonia,mekongensis Pierre,Yes,Yes,84,,,,,,,Apocynaceae,Bousigonia mekongensis,Bousigonia mekongensis,77611-1,77611-1,Species
108,Buckollia volubilis (Schltr.) Venter & R. L. Verh.,Buckollia,volubilis (Schltr.) Venter & R. L. Verh.,,,,Yes,B [103],,,,,Apocynaceae,Buckollia volubilis,Buckollia volubilis,978337-1,978337-1,Species
109,Callichilia barteri (Hook. f.) Stapf,Callichilia,barteri (Hook. f.) Stapf,Yes,Yes,"KN, 85",,,,,Active,26/KN,Apocynaceae,Callichilia barteri,Callichilia barteri,77635-1,77635-1,Species
110,Callichilia subsessilis (Benth.) Stapf,Callichilia,subsessilis (Benth.) Stapf,Yes,Yes,86,,,,,,,Apocynaceae,Callichilia subsessilis,Callichilia subsessilis,77645-1,77645-1,Species
111,Calotropis gigantea (L.) W. T. Aiton,Calotropis,gigantea (L.) W. T. Aiton,Yes,Yes,87/90,Yes,R [88] [324],,,Active,87/88/90,Apocynaceae,Calotropis gigantea,Calotropis gigantea,95173-1,95173-1,Species
112,Calotropis procera (Aiton) W. T. Aiton,Calotropis,procera (Aiton) W. T. Aiton,,,,Yes,"R, Fl [89]",Yes,La [89],Active,34/36/89,Apocynaceae,Calotropis procera,Calotropis procera,1004515-2,1004515-2,Species
113,Caralluma adscendens var. adscendens,Caralluma,adscendens var. adscendens,Yes,Yes,291,,,,,,,Apocynaceae,Caralluma adscendens var. adscendens,Caralluma adscendens,95198-1,77172739-1,Variety
114,Caralluma adscendens var. gracilis Gravely & Mayur.,Caralluma,adscendens var. gracilis Gravely & Mayur.,,,,,,,,,,Apocynaceae,Caralluma adscendens var. gracilis,Caralluma adscendens,95198-1,60452656-2,Variety
115,Caralluma dalzielii N. E. Br.,Caralluma,dalzielii N. E. Br.,Yes,Yes,274,,,,,,,Apocynaceae,Caralluma dalzielii,Caralluma dalzielii,95238-1,95238-1,Species
116,Caralluma fimbriata Wall.,Caralluma,fimbriata Wall.,Yes,Yes,93,,,,,,,Apocynaceae,Caralluma fimbriata,Caralluma fimbriata,95260-1,95260-1,Species
117,Caralluma stalagmifera C.E.C.Fisch.,Caralluma,stalagmifera C.E.C.Fisch.,,,,,,,,,,Apocynaceae,Caralluma stalagmifera,Caralluma stalagmifera,95370-1,95370-1,Species
118,Carissa carandas L.,Carissa,carandas L.,Yes,Yes,105,,,Yes,"L, R [79]",,,Apocynaceae,Carissa carandas,Carissa carandas,77691-1,77691-1,Species
119,Carissa macrocarpa (Eckl.) A. DC.,Carissa,macrocarpa (Eckl.) A. DC.,Yes,No,104,,,,,,,Apocynaceae,Carissa macrocarpa,Carissa macrocarpa,77727-1,77727-1,Species
120,Carissa spinarum L.,Carissa,spinarum L.,Yes,Yes,99,Yes,R [97],Yes,"L, R [79]",Active,97,Apocynaceae,Carissa spinarum,Carissa spinarum,77756-1,77756-1,Species
121,Cascabela thevetia (L.) Lippold,Cascabela,thevetia (L.) Lippold,Yes,Yes,37,Yes,[261],Yes,B [316],Inactive,36/159,Apocynaceae,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species
122,Catharanthus lanceus (Bojer ex A.DC.) Pichon,Catharanthus,lanceus (Bojer ex A.DC.) Pichon,Yes,Yes,KN,,,,,,,Apocynaceae,Catharanthus lanceus,Catharanthus lanceus,77876-1,77876-1,Species
123,Catharanthus longifolius (Pichon) Pichon,Catharanthus,longifolius (Pichon) Pichon,Yes,Yes,KN,,,,,,,Apocynaceae,Catharanthus longifolius,Catharanthus longifolius,77877-1,77877-1,Species
124,Catharanthus ovalis Markgr.,Catharanthus,ovalis Markgr.,Yes,Yes,KN,,,,,,,Apocynaceae,Catharanthus ovalis,Catharanthus ovalis,77878-1,77878-1,Species
125,Catharanthus pusillus (Murray) G. Don,Catharanthus,pusillus (Murray) G. Don,Yes,Yes,"KN, 266",,,,,,,Apocynaceae,Catharanthus pusillus,Catharanthus pusillus,77879-1,77879-1,Species
126,Catharanthus roseus (L.) G. Don,Catharanthus,roseus (L.) G. Don,Yes,Yes,35,Yes,A [313],Yes,A [313],Inactive,34/36,Apocynaceae,Catharanthus roseus,Catharanthus roseus,77880-1,77880-1,Species
127,Catharanthus trichophyllus (Baker) Pichon,Catharanthus,trichophyllus (Baker) Pichon,Yes,Yes,KN,,,,,,,Apocynaceae,Catharanthus trichophyllus,Catharanthus trichophyllus,77882-1,77882-1,Species
128,Caudanthera edulis (Edgew.) Meve & Liede,Caudanthera,edulis (Edgew.) Meve & Liede,Yes,Yes,107,Yes,"Se, S [275]",,,,,Apocynaceae,Caudanthera edulis,Caudanthera edulis,20009959-1,20009959-1,Species
129,Caudanthera sinaica (Decne.) Plowes,Caudanthera,sinaica (Decne.) Plowes,,,,,,,,Inactive,95,Apocynaceae,Caudanthera sinaica,Caudanthera sinaica,986775-1,986775-1,Species
130,Cerbera manghas L.,Cerbera,manghas L.,Yes,Yes,114,Yes,[114],Yes,[114],,,Apocynaceae,Cerbera manghas,Cerbera manghas,77906-1,77906-1,Species
131,Cerbera odollam Gaertn.,Cerbera,odollam Gaertn.,Yes,Yes,115,,,,,,,Apocynaceae,Cerbera odollam,Cerbera odollam,77913-1,77913-1,Species
