,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
26,Alstonia muelleriana Domin,Alstonia,muelleriana Domin,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia muelleriana,Alstonia muelleriana,76562-1,76562-1,Species,Manual
27,Alstonia odontophora Boiteau,Alstonia,odontophora Boiteau,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia odontophora,Alstonia odontophora,76565-1,76565-1,Species,Manual
28,Alstonia pneumatophora Backer ex Den berger,Alstonia,pneumatophora Backer ex Den berger,1.0,1.0,247,,,,,,,Apocynaceae,Alstonia pneumatophora,Alstonia pneumatophora,76578-1,76578-1,Species,Manual
29,Alstonia quaternata Van Heurck & Müll.Arg.,Alstonia,quaternata Van Heurck & Müll.Arg.,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia quaternata,Alstonia quaternata,76580-1,76580-1,Species,Manual
30,Alstonia rostrata C. E. C. Fisch.,Alstonia,rostrata C. E. C. Fisch.,1.0,1.0,201,,,,,,,Apocynaceae,Alstonia rostrata,Alstonia rostrata,76584-1,76584-1,Species,Manual
31,Alstonia rupestris Kerr,Alstonia,rupestris Kerr,1.0,1.0,108,,,,,,,Apocynaceae,Alstonia rupestris,Alstonia rupestris,76585-1,76585-1,Species,Manual
32,Alstonia scholaris (L.) R. Br.,Alstonia,scholaris (L.) R. Br.,1.0,1.0,"KN, 88",1.0,"[79, 327]",,,0.0,88,Apocynaceae,Alstonia scholaris,Alstonia scholaris,60445977-2,60445977-2,Species,Manual
33,Alstonia spatulata Blume,Alstonia,spatulata Blume,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia spatulata,Alstonia spatulata,76595-1,76595-1,Species,Manual
34,Alstonia spectabilis R. Br.,Alstonia,spectabilis R. Br.,1.0,1.0,KN,1.0,SB [88] [327],,,1.0,88,Apocynaceae,Alstonia spectabilis,Alstonia spectabilis,76597-1,76597-1,Species,Manual
35,Alstonia sphaerocapitata Boiteau,Alstonia,sphaerocapitata Boiteau,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia sphaerocapitata,Alstonia sphaerocapitata,76598-1,76598-1,Species,Manual
36,Alstonia venenata R. Br.,Alstonia,venenata R. Br.,1.0,1.0,"KN, 79",,,,,,,Apocynaceae,Alstonia venenata,Alstonia venenata,76602-1,76602-1,Species,Manual
37,Alstonia vieillardii Van Heurck & Müll.Arg.,Alstonia,vieillardii Van Heurck & Müll.Arg.,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia vieillardii,Alstonia vieillardii,76604-1,76604-1,Species,Manual
38,Alstonia yunnanensis Diels,Alstonia,yunnanensis Diels,1.0,1.0,247,,,,,,,Apocynaceae,Alstonia yunnanensis,Alstonia yunnanensis,76608-1,76608-1,Species,Manual
39,Alyxia stellata (J. R. Forst. & G. Forst.) Roem. & Schult.,Alyxia,stellata (J. R. Forst. & G. Forst.) Roem. & Schult.,1.0,1.0,280,,,,,0.0,73,Apocynaceae,Alyxia stellata,Alyxia stellata,76804-1,76804-1,Species,Manual
41,Ambelania acida Aubl.,Ambelania,acida Aubl.,1.0,1.0,65,,,,,,,Apocynaceae,Ambelania acida,Ambelania acida,76829-1,76829-1,Species,Manual
42,Amphineurion marginatum (Roxb.) D. J. Middleton,Amphineurion,marginatum (Roxb.) D. J. Middleton,1.0,1.0,72,1.0,"SB, S [70]",1.0,[79],0.0,70,Apocynaceae,Amphineurion marginatum,Amphineurion marginatum,77074602-1,77074602-1,Species,Manual
43,Amsonia elliptica (Thunb.) Roem. & Schult.,Amsonia,elliptica (Thunb.) Roem. & Schult.,1.0,1.0,76,,,,,,,Apocynaceae,Amsonia elliptica,Amsonia elliptica,76906-1,76906-1,Species,Manual
44,Amsonia tabernaemontana Walter,Amsonia,tabernaemontana Walter,1.0,1.0,"KN, 74",,,,,,,Apocynaceae,Amsonia tabernaemontana,Amsonia tabernaemontana,76931-1,76931-1,Species,Manual
45,Amsonia tomentosa var. tomentosa,Amsonia,tomentosa var. tomentosa,1.0,1.0,75,,,,,,,Apocynaceae,Amsonia tomentosa var. tomentosa,Amsonia tomentosa,76934-1,77167486-1,Variety,Manual
46,Anisopus mannii N. E. Br.,Anisopus,mannii N. E. Br.,1.0,1.0,77,,,,,,,Apocynaceae,Anisopus mannii,Anisopus mannii,93986-1,93986-1,Species,Manual
47,Anodendron affine (Hook. & Arn.) Druve,Anodendron,affine (Hook. & Arn.) Druve,1.0,1.0,"78, 143",,,,,,,Apocynaceae,Anodendron affine,Anodendron affine,77061-1,77061-1,Species,Manual
51,Apteranthes europaea (Guss.) Murb.,Apteranthes,europaea (Guss.) Murb.,1.0,1.0,96,,,,,,,Apocynaceae,Apteranthes europaea,Apteranthes europaea,94041-1,94041-1,Species,Manual
54,Araujia sericifera Brot.,Araujia,sericifera Brot.,1.0,1.0,KN,,,,,,,Apocynaceae,Araujia sericifera,Araujia sericifera,30117279-2,30117279-2,Species,Manual
55,Asclepias curassavica L.,Asclepias,curassavica L.,1.0,1.0,51,1.0,"[52, 329]",,,,,Apocynaceae,Asclepias curassavica,Asclepias curassavica,94213-1,94213-1,Species,Manual
56,Asclepias eriocarpa Benth.,Asclepias,eriocarpa Benth.,1.0,1.0,321,,,,,,,Apocynaceae,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,94258-1,Species,Manual
59,Asclepias labriformis M. E. Jones,Asclepias,labriformis M. E. Jones,1.0,1.0,321,,,,,,,Apocynaceae,Asclepias labriformis,Asclepias labriformis,21220-2,21220-2,Species,Manual
61,Asclepias syriaca L.,Asclepias,syriaca L.,1.0,1.0,KN,,,,,,,Apocynaceae,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species,Manual
63,Aspidosperma album (Vahl) Benoist ex Pichon,Aspidosperma,album (Vahl) Benoist ex Pichon,1.0,1.0,2,1.0,329,1.0,[309],,,Apocynaceae,Aspidosperma album,Aspidosperma album,77325-1,77325-1,Species,Manual
64,Aspidosperma auriculatum Markgr.,Aspidosperma,auriculatum Markgr.,1.0,1.0,5,1.0,[310],,,,,Apocynaceae,Aspidosperma auriculatum,Aspidosperma auriculatum,21933-2,21933-2,Species,Manual
65,Aspidosperma carapanauba Pichon,Aspidosperma,carapanauba Pichon,1.0,1.0,16,1.0,329,,,,,Apocynaceae,Aspidosperma carapanauba,Aspidosperma carapanauba,290346-2,290346-2,Species,Manual
66,Aspidosperma cuspa (Kunth) S. F. Blake ex Pittier,Aspidosperma,cuspa (Kunth) S. F. Blake ex Pittier,1.0,1.0,7,,,1.0,[309],,,Apocynaceae,Aspidosperma cuspa,Aspidosperma cuspa,77347-1,77347-1,Species,Manual
67,Aspidosperma cylindrocarpon Müll. Arg.,Aspidosperma,cylindrocarpon Müll. Arg.,1.0,1.0,8,,,,,0.0,295,Apocynaceae,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon,21952-2,21952-2,Species,Manual
68,Aspidosperma desmanthum Benth. Ex Müll. Arg.,Aspidosperma,desmanthum Benth. Ex Müll. Arg.,1.0,1.0,11,1.0,329,1.0, L [311],1.0,300,Apocynaceae,Aspidosperma desmanthum,Aspidosperma desmanthum,77353-1,77353-1,Species,Manual
69,Aspidosperma discolor A. DC.,Aspidosperma,discolor A. DC.,1.0,1.0,4,1.0,"B [315, 329]",,,,,Apocynaceae,Aspidosperma discolor,Aspidosperma discolor,77354-1,77354-1,Species,Manual
70,Aspidosperma eburneum allemão ex Saldanha,Aspidosperma,eburneum allemão ex Saldanha,1.0,1.0,5,,,,,,,Apocynaceae,Aspidosperma eburneum,Aspidosperma eburneum,77361-1,77361-1,Species,Manual
71,Aspidosperma excelsum Benth. ex Müll. Arg.,Aspidosperma,excelsum Benth. ex Müll. Arg.,1.0,1.0,3,1.0,"B [19] U [23, 309,312] B & L [311]",1.0,[309],1.0,23/298,Apocynaceae,Aspidosperma excelsum,Aspidosperma excelsum,77367-1,77367-1,Species,Manual
72,Aspidosperma illustre (Vell.) Kuhim. & Piraja,Aspidosperma,illustre (Vell.) Kuhim. & Piraja,1.0,1.0,40,1.0,329,,,,,Apocynaceae,Aspidosperma illustre,Aspidosperma illustre,21984-2,21984-2,Species,Manual
73,Aspidosperma limae Woodson,Aspidosperma,limae Woodson,1.0,1.0,KN,,,,,,,Apocynaceae,Aspidosperma limae,Aspidosperma limae,21994-2,21994-2,Species,Manual
74,Aspidosperma macrocarpon Mart.,Aspidosperma,macrocarpon Mart.,1.0,1.0,12,,,,,1.0,66,Apocynaceae,Aspidosperma macrocarpon,Aspidosperma macrocarpon,77400-1,77400-1,Species,Manual
75,Aspidosperma megalocarpon Müll. Arg.,Aspidosperma,megalocarpon Müll. Arg.,1.0,1.0,13,1.0,B [315],1.0,[294],1.0,294,Apocynaceae,Aspidosperma megalocarpon,Aspidosperma megalocarpon,77405-1,77405-1,Species,Manual
77,Aspidosperma multiflorum A. DC.,Aspidosperma,multiflorum A. DC.,1.0,1.0,5,,,,,,,Apocynaceae,Aspidosperma multiflorum,Aspidosperma multiflorum,77410-1,77410-1,Species,Manual
78,Aspidosperma nigricans Handro,Aspidosperma,nigricans Handro,1.0,1.0,5,,,,,0.0,46,Apocynaceae,Aspidosperma nigricans,Aspidosperma nigricans,22012-2,22012-2,Species,Manual
79,Aspidosperma oblongum A. DC.,Aspidosperma,oblongum A. DC.,1.0,1.0,5/16,1.0,329,,,1.0,296,Apocynaceae,Aspidosperma oblongum,Aspidosperma oblongum,77418-1,77418-1,Species,Manual
80,Aspidosperma obscurinervium Azambuja,Aspidosperma,obscurinervium Azambuja,1.0,1.0,9,,,,,,,Apocynaceae,Aspidosperma obscurinervium,Aspidosperma obscurinervium,22015-2,22015-2,Species,Manual
81,Aspidosperma olivaceum Müll. Arg.,Aspidosperma,olivaceum Müll. Arg.,1.0,1.0,5,,,,,1.0,295,Apocynaceae,Aspidosperma olivaceum,Aspidosperma olivaceum,22020-2,22020-2,Species,Manual
82,Aspidosperma pachypterum Müll. Arg.,Aspidosperma,pachypterum Müll. Arg.,1.0,1.0,65,,,,,,,Apocynaceae,Aspidosperma pachypterum,Aspidosperma pachypterum,77425-1,77425-1,Species,Manual
83,Aspidosperma parvifolium A. DC.,Aspidosperma,parvifolium A. DC.,1.0,1.0,14,1.0,B [313],1.0,"U [309, 311] B [313]",1.0,1/300,Apocynaceae,Aspidosperma parvifolium,Aspidosperma parvifolium,315552-2,315552-2,Species,Manual
85,Aspidosperma polyneuron Müll Arg.,Aspidosperma,polyneuron Müll Arg.,1.0,1.0,16,1.0,[313],1.0,[313],1.0,1,Apocynaceae,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,77433-1,Species,Manual
86,Aspidosperma pyrifolium Mart.,Aspidosperma,pyrifolium Mart.,1.0,1.0,5,,,,,0.0,297/306,Apocynaceae,Aspidosperma pyrifolium,Aspidosperma pyrifolium,77437-1,77437-1,Species,Manual
87,Aspidosperma quebracho-blanco Schltdl,Aspidosperma,quebracho-blanco Schltdl,1.0,1.0,10,1.0,U [314] B [315],1.0,U [314] B [315],1.0,33,Apocynaceae,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,77440-1,77440-1,Species,Manual
88,Aspidosperma ramiflorum Müll. Arg.,Aspidosperma,ramiflorum Müll. Arg.,1.0,1.0,"KN, 15",,,,,1.0,295,Apocynaceae,Aspidosperma ramiflorum,Aspidosperma ramiflorum,77443-1,77443-1,Species,Manual
89,Aspidosperma rigidum Rusby,Aspidosperma,rigidum Rusby,1.0,1.0,17,1.0,B [19] U [23],1.0,B [317],1.0,23,Apocynaceae,Aspidosperma rigidum,Aspidosperma rigidum,22058-2,22058-2,Species,Manual
90,Aspidosperma sandwithianum Markgr.,Aspidosperma,sandwithianum Markgr.,1.0,1.0,39,,,,,,,Apocynaceae,Aspidosperma sandwithianum,Aspidosperma sandwithianum,22061-2,22061-2,Species,Manual
91,Aspidosperma schultesii Woodson,Aspidosperma,schultesii Woodson,1.0,1.0,17,1.0,B [41],1.0,B [311],,,Apocynaceae,Aspidosperma schultesii,Aspidosperma schultesii,22062-2,22062-2,Species,Manual
92,Aspidosperma spruceanum Benth. Ex Müll. Arg.,Aspidosperma,spruceanum Benth. Ex Müll. Arg.,1.0,1.0,5,1.0,329,,,1.0,295,Apocynaceae,Aspidosperma spruceanum,Aspidosperma spruceanum,22069-2,22069-2,Species,Manual
93,Aspidosperma subincanum Mart,Aspidosperma,subincanum Mart,1.0,1.0,5,1.0,B [204],,,1.0,"41, KN/300",Apocynaceae,Aspidosperma subincanum,Aspidosperma subincanum,77465-1,77465-1,Species,Manual
94,Aspidosperma tomentosum Mart,Aspidosperma,tomentosum Mart,1.0,1.0,5/6,1.0,[66],,,1.0,25,Apocynaceae,Aspidosperma tomentosum,Aspidosperma tomentosum,77467-1,77467-1,Species,Manual
95,Aspidosperma ulei Markg.,Aspidosperma,ulei Markg.,1.0,1.0,16/299,1.0,329,,,0.0,299,Apocynaceae,Aspidosperma ulei,Aspidosperma ulei,22079-2,22079-2,Species,Manual
96,Bahiella infundibuliflora J. F. Morales,Bahiella,infundibuliflora J. F. Morales,1.0,1.0,144,,,,,,,Apocynaceae,Bahiella infundibuliflora,Bahiella infundibuliflora,60444372-2,60444372-2,Species,Manual
100,Beaumontia grandiflora Wall.,Beaumontia,grandiflora Wall.,1.0,1.0,83,,,,,,,Apocynaceae,Beaumontia grandiflora,Beaumontia grandiflora,77539-1,77539-1,Species,Manual
102,Boucerosia diffusa (wight),Boucerosia,diffusa (wight),1.0,1.0,94,,,,,,,Apocynaceae,Boucerosia diffusa,Boucerosia diffusa,94966-1,94966-1,Species,Manual
106,Bousigonia angustifolia Pierre ex Spire,Bousigonia,angustifolia Pierre ex Spire,1.0,1.0,84,,,,,,,Apocynaceae,Bousigonia angustifolia,Bousigonia angustifolia,77610-1,77610-1,Species,Manual
107,Bousigonia mekongensis Pierre,Bousigonia,mekongensis Pierre,1.0,1.0,84,,,,,,,Apocynaceae,Bousigonia mekongensis,Bousigonia mekongensis,77611-1,77611-1,Species,Manual
109,Callichilia barteri (Hook. f.) Stapf,Callichilia,barteri (Hook. f.) Stapf,1.0,1.0,"KN, 85",,,,,1.0,26/KN,Apocynaceae,Callichilia barteri,Callichilia barteri,77635-1,77635-1,Species,Manual
110,Callichilia subsessilis (Benth.) Stapf,Callichilia,subsessilis (Benth.) Stapf,1.0,1.0,86,,,,,,,Apocynaceae,Callichilia subsessilis,Callichilia subsessilis,77645-1,77645-1,Species,Manual
111,Calotropis gigantea (L.) W. T. Aiton,Calotropis,gigantea (L.) W. T. Aiton,1.0,1.0,87/90,1.0,R [88] [324],,,1.0,87/88/90,Apocynaceae,Calotropis gigantea,Calotropis gigantea,95173-1,95173-1,Species,Manual
113,Caralluma adscendens var. adscendens,Caralluma,adscendens var. adscendens,1.0,1.0,291,,,,,,,Apocynaceae,Caralluma adscendens var. adscendens,Caralluma adscendens,95198-1,77172739-1,Variety,Manual
115,Caralluma dalzielii N. E. Br.,Caralluma,dalzielii N. E. Br.,1.0,1.0,274,,,,,,,Apocynaceae,Caralluma dalzielii,Caralluma dalzielii,95238-1,95238-1,Species,Manual
116,Caralluma fimbriata Wall.,Caralluma,fimbriata Wall.,1.0,1.0,93,,,,,,,Apocynaceae,Caralluma fimbriata,Caralluma fimbriata,95260-1,95260-1,Species,Manual
118,Carissa carandas L.,Carissa,carandas L.,1.0,1.0,105,,,1.0,"L, R [79]",,,Apocynaceae,Carissa carandas,Carissa carandas,77691-1,77691-1,Species,Manual
120,Carissa spinarum L.,Carissa,spinarum L.,1.0,1.0,99,1.0,R [97],1.0,"L, R [79]",1.0,97,Apocynaceae,Carissa spinarum,Carissa spinarum,77756-1,77756-1,Species,Manual
121,Cascabela thevetia (L.) Lippold,Cascabela,thevetia (L.) Lippold,1.0,1.0,37,1.0,[261],1.0,B [316],0.0,36/159,Apocynaceae,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species,Manual
122,Catharanthus lanceus (Bojer ex A.DC.) Pichon,Catharanthus,lanceus (Bojer ex A.DC.) Pichon,1.0,1.0,KN,,,,,,,Apocynaceae,Catharanthus lanceus,Catharanthus lanceus,77876-1,77876-1,Species,Manual
123,Catharanthus longifolius (Pichon) Pichon,Catharanthus,longifolius (Pichon) Pichon,1.0,1.0,KN,,,,,,,Apocynaceae,Catharanthus longifolius,Catharanthus longifolius,77877-1,77877-1,Species,Manual
124,Catharanthus ovalis Markgr.,Catharanthus,ovalis Markgr.,1.0,1.0,KN,,,,,,,Apocynaceae,Catharanthus ovalis,Catharanthus ovalis,77878-1,77878-1,Species,Manual
125,Catharanthus pusillus (Murray) G. Don,Catharanthus,pusillus (Murray) G. Don,1.0,1.0,"KN, 266",,,,,,,Apocynaceae,Catharanthus pusillus,Catharanthus pusillus,77879-1,77879-1,Species,Manual
126,Catharanthus roseus (L.) G. Don,Catharanthus,roseus (L.) G. Don,1.0,1.0,35,1.0,A [313],1.0,A [313],0.0,34/36,Apocynaceae,Catharanthus roseus,Catharanthus roseus,77880-1,77880-1,Species,Manual
127,Catharanthus trichophyllus (Baker) Pichon,Catharanthus,trichophyllus (Baker) Pichon,1.0,1.0,KN,,,,,,,Apocynaceae,Catharanthus trichophyllus,Catharanthus trichophyllus,77882-1,77882-1,Species,Manual
128,Caudanthera edulis (Edgew.) Meve & Liede,Caudanthera,edulis (Edgew.) Meve & Liede,1.0,1.0,107,1.0,"Se, S [275]",,,,,Apocynaceae,Caudanthera edulis,Caudanthera edulis,20009959-1,20009959-1,Species,Manual
130,Cerbera manghas L.,Cerbera,manghas L.,1.0,1.0,114,1.0,[114],1.0,[114],,,Apocynaceae,Cerbera manghas,Cerbera manghas,77906-1,77906-1,Species,Manual
131,Cerbera odollam Gaertn.,Cerbera,odollam Gaertn.,1.0,1.0,115,,,,,,,Apocynaceae,Cerbera odollam,Cerbera odollam,77913-1,77913-1,Species,Manual
133,Ceropegia bulbosa Roxb.,Ceropegia,bulbosa Roxb.,1.0,1.0,118,,,,,,,Apocynaceae,Ceropegia bulbosa,Ceropegia bulbosa,95492-1,95492-1,Species,Manual
135,Ceropegia juncea Roxb.,Ceropegia,juncea Roxb.,1.0,1.0,117,,,,,,,Apocynaceae,Ceropegia juncea,Ceropegia juncea,95629-1,95629-1,Species,Manual
136,Ceropegia media (H. Huber) Ansari,Ceropegia,media (H. Huber) Ansari,1.0,1.0,121,,,,,,,Apocynaceae,Ceropegia media,Ceropegia media,95667-1,95667-1,Species,Manual
137,"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S. K. Srivast. & Kavade) Kambale & S. R. Yadav",Ceropegia,"sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S. K. Srivast. & Kavade) Kambale & S. R. Yadav",1.0,1.0,120,,,,,,,Apocynaceae,Ceropegia sahyadrica var. karulensis,Ceropegia sahyadrica,95755-1,77202358-1,Variety,Manual
139,Chloropetalum denticulatum (Vahl) Morillo,Chloropetalum,denticulatum (Vahl) Morillo,1.0,1.0,53,,,,,,,Apocynaceae,Chloropetalum denticulatum,Chloropetalum denticulatum,77206440-1,77206440-1,Species,Manual
140,Chonemorpha fragrans (Moon) Alston,Chonemorpha,fragrans (Moon) Alston,1.0,1.0,124,,,1.0,"Wp, R [79]",,,Apocynaceae,Chonemorpha fragrans,Chonemorpha fragrans,78008-1,78008-1,Species,Manual
143,Cosmostigma cordatum (Poir.) M. R. Almeida,Cosmostigma,cordatum (Poir.) M. R. Almeida,1.0,1.0,119,,,,,,,Apocynaceae,Cosmostigma cordatum,Cosmostigma cordatum,20008971-1,20008971-1,Species,Manual
144,Craspidospermum verticillatum Bojer ex Decne.,Craspidospermum,verticillatum Bojer ex Decne.,1.0,1.0,126,,,,,,,Apocynaceae,Craspidospermum verticillatum,Craspidospermum verticillatum,78180-1,78180-1,Species,Manual
145,Crioceras dipladeniiflorus (Stapf) K. Schum.,Crioceras,dipladeniiflorus (Stapf) K. Schum.,1.0,1.0,126,,,,,,,Apocynaceae,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,78181-1,78181-1,Species,Manual
147,Cryptolepis buchananii R. Br. ex Roem. & Schult.,Cryptolepis,buchananii R. Br. ex Roem. & Schult.,1.0,1.0,119,,,,,,,Apocynaceae,Cryptolepis buchananii,Cryptolepis buchananii,95915-1,95915-1,Species,Manual
150,Cryptolepis decidua (Planch. ex Benth.) N. E. Br.,Cryptolepis,decidua (Planch. ex Benth.) N. E. Br.,1.0,1.0,150,,,,,,,Apocynaceae,Cryptolepis decidua,Cryptolepis decidua,95920-1,95920-1,Species,Manual
151,Cryptolepis hypoglauca K. Schum.,Cryptolepis,hypoglauca K. Schum.,1.0,1.0,284,,,,,,,Apocynaceae,Cryptolepis hypoglauca,Cryptolepis hypoglauca,95931-1,95931-1,Species,Manual
152,Cryptolepis nigrescens (Wennberg) L. Joubert & Bruyns,Cryptolepis,nigrescens (Wennberg) L. Joubert & Bruyns,1.0,1.0,290,1.0,L [193],,,0.0,146,Apocynaceae,Cryptolepis nigrescens,Cryptolepis nigrescens,77158572-1,77158572-1,Species,Manual
154,Cryptolepis sanguinolenta (Lindl.) Schltr.,Cryptolepis,sanguinolenta (Lindl.) Schltr.,1.0,1.0,"KN, 127",1.0,R [128],,,1.0,127,Apocynaceae,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,95951-1,Species,Manual
157,Cynanchum maximoviczii Pobed.,Cynanchum,maximoviczii Pobed.,1.0,1.0,132,,,,,,,Apocynaceae,Cynanchum maximoviczii,Cynanchum maximoviczii,96387-1,96387-1,Species,Manual
159,Cynanchum otophyllum C.K.Schneid.,Cynanchum,otophyllum C.K.Schneid.,1.0,1.0,KN,,,,,,,Apocynaceae,Cynanchum otophyllum,Cynanchum otophyllum,96460-1,96460-1,Species,Manual
160,Cynanchum wallichii Wight,Cynanchum,wallichii Wight,1.0,1.0,KN,,,,,,,Apocynaceae,Cynanchum wallichii,Cynanchum wallichii,96692-1,96692-1,Species,Manual
161,Cynanchum wilfordii (Maxim.) Hook. f.,Cynanchum,wilfordii (Maxim.) Hook. f.,1.0,1.0,131,,,,,,,Apocynaceae,Cynanchum wilfordii,Cynanchum wilfordii,96697-1,96697-1,Species,Manual
162,Decalepis arayalpathra (J. Joseph & V. Chandras.) Venter,Decalepis,arayalpathra (J. Joseph & V. Chandras.) Venter,1.0,1.0,139,,,,,,,Apocynaceae,Decalepis arayalpathra,Decalepis arayalpathra,998076-1,998076-1,Species,Manual
163,Decalepis hamiltonii Wight & Arn.,Decalepis,hamiltonii Wight & Arn.,1.0,1.0,293,,,,,,,Apocynaceae,Decalepis hamiltonii,Decalepis hamiltonii,96807-1,96807-1,Species,Manual
164,Decalepis nervosa (Wight & Arn.) Venter,Decalepis,nervosa (Wight & Arn.) Venter,1.0,1.0,138,,,,,,,Apocynaceae,Decalepis nervosa,Decalepis nervosa,998075-1,998075-1,Species,Manual
